timestamp_s,y_position_mm,extrusion_steps_s
367902.095335,50.003,0.0
367902.546155,0.006,0.0
367902.546233,0.006,0.0
367902.546266,0.006,0.0
367902.546370,0.006,0.0
367902.546433,0.006,0.0
367902.546528,0.006,0.0
367902.546600,0.006,0.0
367902.546643,0.006,0.0
367902.546669,0.006,0.0
367902.546692,0.006,0.0
367902.546710,0.006,0.0
367902.546730,0.006,0.0
367902.546755,0.006,0.0
367902.546776,0.006,0.0
367902.546791,0.006,0.0
367902.546806,0.006,0.0
367902.546821,0.006,0.0
367902.546836,0.006,0.0
367902.546851,0.006,0.0
367902.546866,0.006,0.0
367902.546886,0.006,0.0
367902.546901,0.006,0.0
367902.546934,0.006,0.0
367902.546954,0.006,0.0
367902.546982,0.006,0.0
367902.546997,0.006,0.0
367902.547012,0.006,0.0
367902.547053,0.006,0.0
367902.547084,0.006,0.0
367902.547197,0.010,0.0
367902.547233,0.010,0.0
367902.547250,0.010,0.0
367902.547277,0.010,0.0
367902.547301,0.010,0.0
367902.547317,0.010,0.0
367902.547333,0.010,0.0
367902.547356,0.010,0.0
367902.547380,0.010,0.0
367902.547395,0.010,0.0
367902.547410,0.010,0.0
367902.547425,0.010,0.0
367902.547441,0.010,0.0
367902.547486,0.010,0.0
367902.547504,0.010,0.0
367902.547520,0.010,0.0
367902.547535,0.010,0.0
367902.547551,0.010,0.0
367902.547566,0.010,0.0
367902.547581,0.010,0.0
367902.547597,0.010,0.0
367902.547612,0.010,0.0
367902.547627,0.010,0.0
367902.547642,0.010,0.0
367902.547657,0.010,0.0
367902.547672,0.010,0.0
367902.547687,0.010,0.0
367902.547725,0.010,0.0
367902.547744,0.010,0.0
367902.547760,0.010,0.0
367902.547775,0.010,0.0
367902.547790,0.010,0.0
367902.547806,0.010,0.0
367902.547821,0.010,0.0
367902.547836,0.010,0.0
367902.547851,0.010,0.0
367902.547866,0.010,0.0
367902.547881,0.010,0.0
367902.547896,0.010,0.0
367902.547911,0.010,0.0
367902.547926,0.010,0.0
367902.547941,0.010,0.0
367902.547975,0.010,0.0
367902.548035,0.010,0.0
367902.548057,0.010,0.0
367902.548082,0.010,0.0
367902.548142,0.010,0.0
367902.548164,0.010,0.0
367902.548180,0.010,0.0
367902.548197,0.010,0.0
367902.548217,0.010,0.0
367902.548233,0.010,0.0
367902.548249,0.010,0.0
367902.548264,0.010,0.0
367902.548279,0.010,0.0
367902.548296,0.010,0.0
367902.548311,0.010,0.0
367902.548326,0.010,0.0
367902.548342,0.010,0.0
367902.548358,0.010,0.0
367902.548373,0.010,0.0
367902.548388,0.010,0.0
367902.548404,0.010,0.0
367902.548419,0.010,0.0
367902.548434,0.010,0.0
367902.548449,0.010,0.0
367902.548469,0.010,0.0
367902.548488,0.010,0.0
367902.548503,0.010,0.0
